year,values,geo,Country
2000,113429,AU,Australia
2001,103130,AU,Australia
2002,105435,AU,Australia
2003,106394,AU,Australia
2004,110958,AU,Australia
2005,109323,AU,Australia
2006,114222,AU,Australia
2007,116322,AU,Australia
2008,118756,AU,Australia
2009,120118,AU,Australia
2010,120176,AU,Australia
2011,121752,AU,Australia
2012,123244,AU,Australia
2013,118962,AU,Australia
2014,121197,AU,Australia
2015,113595,AU,Australia
2016,118401,AU,Australia
2017,112954,AU,Australia
2018,119186,AU,Australia
2019,113815,AU,Australia
2020,78987,AU,Australia
2021,89167,AU,Australia
2022,127161,AU,Australia
2023,118439,AU,Australia
