Country,Year,Crude Marriage Rate,Outlier Severity
Serbia,2020,3.4,5.88
Spain,2020,1.9,5.84
Italy,2020,1.6,5.84
Ireland,2020,1.9,5.82
France,2020,2.3,5.81
Australia,2020,3.08,5.76
Portugal,2020,1.8,5.73
Malta,2020,2.2,5.61
Greece,2020,2.9,5.51
North Macedonia,2020,5,5.51
Croatia,2020,3.8,5.32
Luxembourg,2022,3.8,5.31
Sweden,2020,3.6,5.28
Poland,2020,3.8,5.06
Belgium,2020,2.8,5
Sweden,2021,3.7,4.78
Slovenia,2020,2.5,4.78
Netherlands,2020,2.9,4.77
Finland,2021,3.5,4.74
Montenegro,2020,3.3,4.72
Albania,2020,6.2,4.5
Lithuania,2020,5.5,4.37
Switzerland,2020,4.1,4.12
Germany,2021,4.3,4.08
Turkey,2020,5.8,3.97
Hungary,2021,7.4,3.93
Australia,2021,3.48,3.65
Lithuania,2022,5.7,3.63
Switzerland,2021,4.2,3.47
Ukraine,2020,4,3.39
Romania,2020,4.2,3.36
Denmark,2021,4.7,3.3
Hungary,2020,6.9,3.01
Estonia,2022,5.3,3
